=== Multi-Field NTT Benchmark ===
Device: NVIDIA GeForce RTX 3060 Laptop GPU (SM 8.6, 30 SMs)
VRAM: 6143 MB
Reps: 7 (median), Warmup: 2

Size     BLS(ms)      GL(ms)       BB(ms)       BLS B8(ms)   GL B8(ms)    BB B8(ms)   
----     -------      ------       ------       ----------   ---------    ---------   
2^10     0.181        0.013        0.009        0.191        0.013        0.010       
2^12     0.199        0.024        0.016        0.270        0.028        0.020       
2^15     0.288        0.033        0.025        0.952        0.126        0.083       
2^16     0.366        0.056        0.039        1.708        0.271        0.144       
2^18     1.046        0.139        0.093        6.807        1.194        0.691       
2^20     3.953        0.762        0.398        28.558       5.557        3.149       
2^22     15.073       3.603        2.446        120.223      31.408       21.077      

Done.
